condition,cpu_mcm_max,cpu_mcm_mean,cpu_mcm_p95,cpu_sys_user_mean,reps,rtsp-0_jitter_us,udp-0_jitter_us,udp-0_minus_rtsp-0_us_max,udp-0_minus_rtsp-0_us_median,udp-0_minus_rtsp-0_us_median_ci_hi,udp-0_minus_rtsp-0_us_median_ci_lo,udp-0_minus_rtsp-0_us_p95,udp-0_minus_rtsp-0_us_p99,v4l2_drops_1s_max,v4l2_drops_1s_sum,v4l2_windows_with_drops,variant,webrtc-0_jitter_us,webrtc-0_minus_rtsp-0_us_max,webrtc-0_minus_rtsp-0_us_median,webrtc-0_minus_rtsp-0_us_median_ci_hi,webrtc-0_minus_rtsp-0_us_median_ci_lo,webrtc-0_minus_rtsp-0_us_p95,webrtc-0_minus_rtsp-0_us_p99,webrtc-0_minus_udp-0_us_max,webrtc-0_minus_udp-0_us_median,webrtc-0_minus_udp-0_us_median_ci_hi,webrtc-0_minus_udp-0_us_median_ci_lo,webrtc-0_minus_udp-0_us_p95,webrtc-0_minus_udp-0_us_p99
idle,10.05,5.846333333333333,7.0504999999999995,7.82925,3,23658.67038977341,23874.96755568226,-832.0,-2890.0,-2857.0,-2918.0,-1912.25,-1467.2000000000007,0,0,0,appsink,23758.056352623535,-437.0,-1159.0,-1144.0,-1175.0,-760.5,-642.1000000000004,30574.0,1715.5,1729.0,1701.0,2904.25,5088.399999999958
impair_aggressive,9.15,6.005271966527197,7.106999999999999,8.582468619246862,3,23829.997521845053,24269.36586837656,-633.0,-3032.0,-2978.0,-3081.0,-1689.2000000000044,-1169.9199999999992,0,0,0,appsink,740146.1757732172,111087.0,76024.0,77093.0,75229.0,89699.0,108551.00000000001,113874.0,79046.0,80062.0,78126.0,93659.0,111424.80000000002
impair_mild,9.22,5.982666666666668,7.031499999999999,8.363750000000001,3,24695.71780222888,24957.289969283996,-733.0,-2890.0,-2864.0,-2908.5,-2117.0,-1684.0500000000025,0,0,0,appsink,4182199.710652851,30509.0,27214.0,28691.0,26556.0,30080.5,30391.7,33740.0,30572.0,31735.0,29711.0,32895.5,33495.5
idle,8.13,4.464625,5.31,7.094125,3,25270.866361203178,25533.53126581827,53626.0,-2324.0,-2272.0,-2362.0,-939.5000000000009,511.9800000000009,0,0,0,b1,25513.615205196602,-381.0,-1111.0,-1101.0,-1126.0,-681.6000000000004,-524.0,39675.0,1209.5,1231.0,1182.0,2244.0,4049.6199999999617
impair_aggressive,8.78,4.648702928870293,5.361000000000001,7.91092050209205,3,22759.290763005167,22897.777063275877,4782.0,-2378.0,-2342.0,-2417.0,-966.6999999999998,417.52999999999656,0,0,0,b1,1700634.0215841758,173851.0,76523.0,78443.0,75669.0,111977.3,116155.95999999998,175018.0,79320.0,80693.0,78084.0,114555.9,117146.71999999999
impair_mild,8.2,4.467364016736401,5.301,8.080460251046025,3,9331.834373388914,9340.388402339919,17602.0,-2521.0,-2478.0,-2573.0,-1099.0000000000014,430.2400000000007,0,0,0,b1,2057295.9653198484,34213.0,27155.0,27664.0,26578.0,31772.3,33257.62000000002,36361.0,29725.0,30381.0,29100.0,34551.9,35904.48
idle,8.56,4.424100418410043,5.1930000000000005,7.542259414225942,3,25565.76759781413,26005.319871373624,-585.0,-2811.5,-2765.0,-2842.0,-1392.35,-944.0,0,0,0,proxy,25795.439946407216,-380.0,-1137.5,-1122.0,-1152.0,-670.0,-510.5600000000013,50925.0,1599.0,1628.0249999999999,1575.5,2705.3,5098.649999999967
impair_aggressive,8.2,4.572050209205022,5.351,7.922175732217573,3,24750.262262423483,25086.26676019582,-593.0,-2903.5,-2878.5,-2936.5125,-1308.0,-914.1400000000003,0,0,0,proxy,848770.5105387713,95306.0,74611.0,75804.0,73837.0,84774.59999999999,89351.68000000001,99661.0,77407.0,78515.0,76092.0,87123.2,92777.32
impair_mild,8.64,4.562301255230125,5.36,7.944769874476989,3,25165.800791704347,25762.616885603802,-610.0,-2897.5,-2853.9875,-2927.025,-1361.25,-934.0500000000002,0,0,0,proxy,2206050.3690900914,30626.0,25999.0,27253.0,24047.0,29962.25,30509.63,32785.0,28721.0,30121.0,27525.5,32610.399999999998,32771.5
