content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes,webrtc-1_pts_ms,webrtc-1_arrival_us,webrtc-1_bytes
05a01ff7e6979bbe,114402,99483592,134111,114373,99496284,134111,114355,99493878,134111
05ae310d8c1ecad5,81131,66224097,137103,81084,66234529,137103,81069,66234958,137103
05b052c12ff1bb46,48523,33581442,130209,48521,33593769,130209,48507,33591052,130209
05b541985343385e,42012,27061286,129538,42015,27071085,129538,41997,27071168,129538
05bf0e9fa3f3348e,46156,31240947,139706,46119,31251214,139706,46103,31251472,139706
05d4d13027eb4e13,43985,29081219,130814,43946,29091154,130814,43928,29091517,130814
05d5eb011e7b1091,30408,15486421,154169,30375,15498745,154169,30359,15499057,154169
0625edfd857d87c5,61410,46500868,137802,61361,46511068,137802,61341,46511393,137802
062fbc9e405b473f,83590,68724943,333797,83596,68763269,333837,83573,68749999,333837
0671741287885aab,91438,76523804,132431,91396,76534265,132431,91381,76534459,132431
0680a0981c3dc160,66347,51460886,137768,66316,51476183,137768,66302,51474306,137768
068c4a2f7a341fd5,46720,31799532,130779,46716,31809588,130779,46698,31809853,130779
06df8a57172c3a16,22311,7400252,137194,22252,7412637,137194,22236,7410050,137194
06ea657f7688fd39,53764,38863896,131046,53727,38874155,131046,53711,38874607,131046
06fb5018cf5e4743,27147,12221415,132217,27115,12232267,132217,27099,12232563,132217
070cbdeb70d03fd4,22050,7104115,137595,22037,7114638,137595,22023,7114834,137595
0719516791e9407c,87997,73147399,339450,88012,73174825,339490,87998,73176055,339490
071a8b9f9e8898cd,83274,68381039,137199,83236,68392049,137199,83221,68392331,137199
07242be4bfeab08a,57196,42259508,130692,57186,42270977,130692,57185,42269289,130692
0726f3a58d4e4727,56195,41279596,130716,56154,41289255,130716,56139,41289616,130716
072923327872611d,118445,103525046,138177,118411,103535011,138177,118395,103535382,138177
07390fb52014f9bd,85542,70664813,330830,85528,70689661,330870,85522,70702948,330870
073dcc3c90fd17e5,63224,48300827,136803,63196,48316084,136803,63182,48316095,136803
0757a8e4693804d4,97673,82761753,139678,97643,82772097,139678,97624,82772395,139678
075e1defe293586d,66534,51620948,137863,66502,51631367,137863,66487,51631685,137863
076410f4937427bd,116264,101345248,138719,116235,101358109,138719,116219,101355320,138719
0765e9cde20fb168,16546,1640582,139178,16496,1651084,139178,16480,1651356,139178
0769e2b55fcdc361,16024,1093102,130051,16038,1102400,130051,16023,1106730,130051
07755b728a0c3578,49940,35020964,138639,49907,35031723,138639,49898,35032077,138639
07784262863f3b41,50505,35579596,130951,50499,35594645,130951,50478,35589301,130951
0790a3cbd3fd11ac,83307,68421139,137118,83272,68431738,137118,83257,68431794,137118
079f47417400503b,60600,45687678,157438,60572,45699670,157438,60553,45703986,157438
07b77012cc63796e,58933,43990851,130696,58938,44000569,130696,58924,44000933,130696
07cf6395f6bdacd7,101813,86901780,139600,101775,86912385,139600,101763,86912654,139600
07e81e5a2ce74aed,69561,54619912,130965,69554,54629451,130965,69540,54632197,130965
07f29a03cc5a5785,45994,31079531,131089,45959,31089503,131089,45943,31089804,131089
08245f4ba50f7172,96197,81263233,132347,96190,81273529,132347,96174,81273858,132347
082be0198dda7541,104845,89900479,131867,104843,89910477,131867,104828,89910932,131867
082fd2f6561b647c,110610,95677881,130561,110608,95687770,130561,110594,95691931,130561
0845b011be626062,118977,104061858,137734,118970,104072348,137734,118955,104072677,137734
08498050c2060a40,66049,51124372,138332,65981,51134782,138332,65966,51135087,138332
085895316fb51df6,68983,54064173,136719,68949,54077324,136719,68936,54075232,136719
0859d4d10fe3aa1f,91120,76207922,138641,91085,76219413,138641,91071,76219068,138641
085d3d68bd4c0b9b,35625,20703634,138343,35592,20714561,138343,35577,20714655,138343
0870fdc7ce15e5ce,94779,79884757,138090,94747,79897712,138090,94732,79896524,138090
08740637d2cf036c,33079,18164065,137307,33053,18174683,137307,33030,18174989,137307
0880e38de1f625ba,75783,60881247,138464,75733,60892010,138464,75718,60892252,138464
08b0a83c3c1ea8fa,39832,24879513,130885,39870,24890931,130885,39836,24891208,130885
08baac85fca628c9,70122,55212494,138549,70090,55227564,138549,70075,55222818,138549
08d3fa06446063ac,91743,76822750,131488,91713,76835137,131488,91693,76832440,131488
08e087ccd92df261,75754,60844894,138541,75706,60855813,138541,75689,60856043,138541
08f49941f2750612,62244,47344255,138908,62209,47354613,138908,62193,47354987,138908
090e54829a35a9be,74420,59504310,138202,74378,59514560,138202,74363,59514990,138202
091ac44c21135b76,46282,31411562,371066,,,,,,
092643beb0608ba9,95319,80422032,140860,95274,80435004,140860,95258,80432382,140860
09434f07f04f652c,31616,16670193,129053,31631,16686107,129053,31617,16681187,129053
095b0e2f3901fff3,30537,15620574,137998,30503,15631265,137998,30485,15631641,137998
09778c98074ab97d,104906,89963000,131775,104897,89973298,131775,104882,89973718,131775
09956e9bc11ab68a,107240,92342931,132634,107202,92352808,132634,107192,92354664,132634
09abc7ae4c84e739,112048,97140544,131877,112008,97151205,131877,111993,97151516,131877
09b1730a09786e6a,76087,61184183,155645,76055,61204055,155645,76040,61196238,155645
09bc14e4907ca393,59723,44804780,139744,59691,44817899,139744,59681,44815010,139744
09c1b34b03c564d2,61642,46724144,137922,61610,46734167,137922,61595,46736966,137922
09d73a078f818377,60535,45621185,139236,60512,45631650,139236,60488,45632087,139236
09f8a13027e66b96,66757,51844185,139250,66718,51857497,139250,66703,51854328,139250
09fc5c0f0e6adbd6,15076,163742,137163,15039,177155,137163,15027,173925,137163
09fcb5ff82bcc94a,119489,104581755,138367,119457,104592439,138367,119442,104592704,138367
0a1e38fa033cea9a,68018,53121268,138711,67973,53131718,138711,67958,53131982,138711
0a27eae0f60a1945,76185,61264673,138048,76151,61275728,138048,76136,61276022,138048
0a3e3bedec2b9a44,106035,91140475,132003,105998,91151298,132003,105983,91151666,132003
0a504e8926814cf2,97054,82141619,138912,97019,82154378,138912,97003,82152059,138912
0a73d5fe3ff40906,20155,5183083,136496,20130,5194536,136496,20116,5194803,136496
0a7e3e2ed3543c2f,49875,34961062,138916,49842,34971865,138916,49833,34972132,138916
0a87c3423f30f8ca,108745,93820705,131843,108733,93830836,131843,108732,93831183,131843
